Publishing Date,Headlines,Category
9/21/2007,"['SECP finally appoints Adnan Afridi KSE MD', 'KSE-100 recomposed', 'FTSE, S&P reports trigger offloading on KSE']",Market
9/22/2007,['KSE approves HBL listing'],Market
10/2/2007,['KSE jumps 387 points to welcome pro-Musharraf decision'],Market
10/3/2007,"['KSE near 14,000 barrier as stocks attract fresh funds']",Market
10/6/2007,['KSE fails to sustain record high on profit-taking'],Market
10/7/2007,['Bulls in control of KSE as political uncertainty ends'],Market
10/9/2007,"['KSE sets new record, zooms to 14,300 points', 'KSE, SECP agree on demutualisation']",Market
10/10/2007,['KSE-100 index hits another record high on selective buying'],Market
10/12/2007,['Last minute buying minimises losses on KSE'],Market
10/14/2007,"['KSE-100 jumps 1,600 points in Ramazan']",Market
10/18/2007,['Optimistic investors push KSE to new high ahead of Benazir’s return'],Market
10/19/2007,['Investors push KSE to new high amid positive political outlook'],Market
10/20/2007,"['KSE sways both ways, closes with moderate gains']",Market
10/21/2007,"['Institutional, foreign buying place KSE on record high']",Market
10/23/2007,"['46-floor KSE Tower project approved', 'Profit-selling pushes KSE into consolidation phase']",Market
10/24/2007,['Short-covering pares earlier losses on KSE'],Market
10/27/2007,['KSE gains 89 points on selective buying'],Market
10/28/2007,['KSE down 2.3pc on profit-selling amid results season'],Market
10/30/2007,['KSE sheds 56 points on technical correction'],Market
10/31/2007,['KSE plunges 366 points on panic selling'],Market
11/1/2007,"['KSE demutualisation biggest challenge for its new MD', 'KSE rebounds 292 points as discounts lure buyers']",Market
11/2/2007,"['KSE dips below 14,000 mark on panic selling']",Market
11/3/2007,['KSE improves after panic selling'],Market
11/6/2007,['Worst-ever single day slump in KSE history'],Market
11/7/2007,['KSE regains 147 points on institutional support crutches'],Market
11/8/2007,['Selective buying in oil scrips allows modest gains on KSE'],Market
11/9/2007,['Foreign investors offload holdings on KSE'],Market
11/11/2007,['KSE down 3.5pc as emergency scares away investors'],Market
11/13/2007,['Institutional buying helps KSE recover 232 points'],Market
11/14/2007,['KSE falls as investors become cautious on political situation'],Market
11/15/2007,['Political situation scares away investors from KSE'],Market
11/16/2007,"['Equities under selling pressure, KSE falls 204 points']",Market
11/17/2007,"['KSE loses 28 points as late selling wipes out earlier gains', 'Japanese delegation visits KSE']",Market
11/20/2007,['KSE recovers 158 points on buying in oil scrips'],Market
11/21/2007,['KSE gains 75 points on cautious buying'],Market
11/22/2007,['US consul general visits KSE'],Market
11/23/2007,['KSE manages to gain 34 points as investors sell on strength'],Market
11/24/2007,['KSE gains 189 points on aggressive buying in E&P'],Market
11/25/2007,"['KSE recovers 650 points during the week', 'KSE Weekly Review']",Market
11/27/2007,['KSE inches up 44 points on selective buying'],Market
11/28/2007,"['KSE gains 19 points on cautious buying, low volumes']",Market
11/30/2007,"['KSE gains 79 points, poised to cross 14,000 mark']",Market
12/1/2007,"['KSE up 35 points, shy of 14,000 level']",Market
12/2/2007,['KSE up 2pc as bulls move ahead cautiously'],Market
12/5/2007,"['KSE above 14,000 points on buying in cement, E&P stocks']",Market
12/6/2007,['KSE gains 101 points on fresh buying'],Market
12/7/2007,"['KSE up 187 points on buying in front line stocks', 'KSE elects directors']",Market
12/8/2007,"['KSE up 149 points on foreign, local institutional buying']",Market
12/9/2007,"['Bulls dominate KSE for third consecutive week', 'KSE Week Review']",Market
12/11/2007,"['Selective buying in OMCs helps  KSE cross 14,500-point barrier']",Market
12/12/2007,"['KSE gains 61 points after buying at dips pares losses', 'KSE to bolster ties with Tehran exchange']",Market
12/13/2007,['KSE down 76 points on profit-taking in blue chips'],Market
12/14/2007,['KSE down 22 points as late selling trims early gains'],Market
12/15/2007,"['KSE inches up 22 points on buying in second, third tier stocks']",Market
12/16/2007,"['Range-bound week ends with 83 points gain on KSE', 'KSE Week Review']",Market
12/19/2007,['Bearish tendencies dominate KSE as index slips 36 points'],Market
12/20/2007,['KSE up 151 points as institutions load up trimmed equities'],Market
12/21/2007,['KSE sees dull week ahead of Eid and Christmas'],Market
12/25/2007,"['KSE at record high on buying in banking, energy stocks']",Market
12/27/2007,"['KSE up 23 points to cross 14,800 level in overbought market']",Market
